ScripCode,TradingSymbol,Description,InstrumentType
23474,ALUWIND-SM,ALUWIND ARCHITECTURAL LTD,0
4083,AMBANIORG-SM,AMBANI ORGANICS LIMITED,0
1185,AMBER-EQ,AMBER ENTERPRISES (I) LTD,0
11496,AMBICAAGAR-EQ,AMBICA AGAR & AROMAINDLTD,0
15234,AMBIKCO-EQ,AMBIKA COTTON MILL LTD.,0
1270,AMBUJACEM-EQ,AMBUJA CEMENTS LTD,0
14398,AMDIND-EQ,AMD INDUSTRIES LIMITED,0
10898,AMEYA-SM,AMEYA PRECISION ENG LTD,0
11939,AMIABLE-SM,AMIABLE LOGISTICS (I) LTD,0
5578,AMIORG-EQ,AMI ORGANICS LIMITED,0
2598,AMJLAND-EQ,AMJ LAND HOLDINGS LIMITED,0
19867,AMNPLST-EQ,AMINES & PLASTICIZERS LTD,0
17547,AMRUTANJAN-EQ,AMRUTAJAN HEALTH LTD,0
7145,ANANDRATHI-EQ,ANAND RATHI WEALTH LTD,0
13620,ANANTRAJ-EQ,ANANT RAJ LIMITED,0
166,ANDHRAPAP-EQ,ANDHRA PAPER LIMITED,0
136,ANDHRSUGAR-EQ,ANDHRA SUGARS LTD,0
324,ANGELONE-EQ,ANGEL ONE LIMITED,0
16657,ANIKINDS-EQ,ANIK INDUSTRIES LTD,0
29434,ANKITMETAL-BE,ANKIT MET & POW LTD,0
13657,ANLON-SM,ANLON TECHNOLOGY SOL LTD,0
3732,ANMOL-BE,ANMOL INDIA LIMITED,0
11198,ANNAPURNA-SM,ANNAPURNA SWADISHT LTD,0
19677,ANSALAPI-BZ,ANSAL PROP & INFRA LTD,0
5194,ANTGRAPHIC-EQ,ANTARCTICA LTD,0
9014,ANUP-EQ,THE ANUP ENGINEERING LTD,0
2829,ANURAS-EQ,ANUPAM RASAYAN INDIA LTD,0
11945,ANZEN-IV,ANZEN IND ENE YLD PLU TRU,0
11491,APARINDS-EQ,APAR INDUSTRIES LTD.,0
20453,APCL-EQ,ANJANI PORTLAND CEM LTD,0
154,APCOTEXIND-EQ,APCOTEX INDUSTRIES LIMITE,0
21623,APEX-EQ,APEX FROZEN FOODS LIMITED,0
25780,APLAPOLLO-EQ,APL APOLLO TUBES LTD,0
25328,APLLTD-EQ,ALEMBIC PHARMA LTD,0
1134,APOLLO-EQ,APOLLO MICRO SYSTEMS LTD,0
157,APOLLOHOSP-EQ,APOLLO HOSPITALS ENTER. L,0
14361,APOLLOPIPE-EQ,APOLLO PIPES LIMITED,0
163,APOLLOTYRE-EQ,APOLLO TYRES LTD,0
6302,APOLSINHOT-EQ,APOLLO SINDOORI HOTEL LTD,0
21451,APS-SM,AUSTRALIAN PREM SOLAR I L,0
10755,APTECHT-EQ,APTECH LIMITED,0
5435,APTUS-EQ,APTUS VALUE HSG FIN I LTD,0
19253,ARABIAN-SM,ARABIAN PETROLEUM LIMITED,0
16799,ARCHIDPLY-BE,ARCHIDPLY IND. LTD,0
5688,ARCHIES-EQ,ARCHIES LTD,0
100,ARE&M-EQ,AMARA RAJA ENERGY MOB LTD,0
181,ARENTERP-EQ,RAJDARSHAN INDUSTRIES LTD,0
13098,ARHAM-ST,ARHAM TECHNOLOGIES LTD,0
15204,ARIES-EQ,ARIES AGRO LTD.,0
13340,ARIHANTACA-SM,ARIHANT ACADEMY LIMITED,0
3813,ARIHANTCAP-EQ,ARIHANT CAPITAL MKTS LTD,0
20159,ARIHANTSUP-EQ,ARIHANT SUPERSTRUCT LTD,0
13926,ARISTO-SM,ARISTO BIO T AND LIFESC L,0
17263,ARMANFIN-EQ,ARMAN FIN SERV LTD,0
14557,AROGRANITE-EQ,ARO GRANITE IND. LTD.,0
9260,ARROWGREEN-EQ,ARROW GREENTECH LIMITED,0
17825,ARSHIYA-BE,ARSHIYA LIMITED,0
18206,ARSSINFRA-BE,ARSS INFRA PROJ. LTD,0
16913,ARTEMISMED-EQ,ARTEMIS MED SERVICE LTD,0
6156,ARTNIRMAN-EQ,ART NIRMAN LIMITED,0
2820,ARVEE-BE,ARVEE LABORATORIES I LTD,0
193,ARVIND-EQ,ARVIND LIMITED,0
9111,ARVINDFASN-EQ,ARVIND FASHIONS LIMITED,0
10457,ARVSMART-EQ,ARVIND SMARTSPACES LTD,0
5378,ASAHIINDIA-EQ,ASAHI INDIA GLASS LIMITED,0
25088,ASAHISONG-EQ,ASAHI SONGWON COLOR LTD,0
10634,ASAL-EQ,AUTOMOTIVE STAMPINGS & AS,0
